Rank,Name,Matches,Inns,Avg,SR,HS,Fours,Sixs,Fifty,Century,Runs
34,Irfan Pathan,120,87,23.39,79.54,83,142,37,5,0,1544
35,Kedar Jadhav,73,52,42.09,101.6,120,141,24,6,2,1389
36,Nayan Mongia,140,96,20.19,68.94,69,95,8,2,0,1272
37,Ajit Agarkar,191,113,14.58,80.62,95,103,22,3,0,1269
38,Harbhajan Singh,236,128,13.3,81.06,49,92,35,0,0,1237
39,Dinesh Mongia,57,51,27.95,71.47,159,122,8,4,1,1230
40,Sandeep Patil,45,42,24.51,82.17,84,0,0,9,0,1005
41,Anil Kumble,271,136,10.54,61.07,26,57,6,0,0,938
42,Robin Uthappa,46,42,25.94,90.59,86,107,19,6,0,934
43,Ishan Kishan,27,24,42.4,102.19,210,95,33,7,1,933
44,Javagal Srinath,229,121,10.63,79.62,53,62,17,1,0,883
45,Yashpal Sharma,42,40,28.48,63.02,89,0,0,4,0,883
46,Rishabh Pant,31,27,33.5,106.21,125,91,26,5,1,871
47,Hemang Badani,40,36,33.34,73.47,100,68,10,4,1,867
48,Yusuf Pathan,57,41,27.0,113.6,123,62,43,3,2,810
49,Zaheer Khan,200,101,12.0,73.46,34,69,24,0,0,792
50,Axar Patel,68,47,22.37,91.47,64,45,31,3,0,783
51,Raman Lamba,32,31,27.0,67.15,102,63,9,6,1,783
52,Surya Kumar Yadav,37,35,25.76,105.02,72,80,19,4,0,773
53,Parthiv Patel,38,34,23.74,76.5,95,79,7,4,0,736
54,Ravichandran Ashwin,116,63,16.44,86.96,65,60,7,1,0,707
55,Sadagoppan Ramesh,24,24,28.08,59.15,82,70,1,6,0,646
56,Roger Binny,72,49,16.12,60.13,57,51,1,1,0,629
57,Woorkeri Raman,27,27,23.73,55.63,114,47,5,3,1,617
58,Sunil Joshi,69,45,17.17,89.43,61,47,17,1,0,584
59,Manish Pandey,29,24,33.29,90.56,104,45,5,2,1,566
60,Kiran More,94,65,13.09,69.67,42,0,0,0,0,563
61,Bhuvneshwar Kumar,121,55,14.15,73.89,53,46,8,1,0,552
62,Pravin Amre,37,30,20.52,64.2,84,28,2,2,0,513
63,Sanju Samson,16,14,56.66,99.6,108,34,22,3,1,510
64,Ashok Malhotra,20,19,30.46,70.85,65,29,1,1,0,457
65,Chetan Sharma,65,35,24.0,90.47,101,31,4,0,1,456
66,Gundappa Viswanath,25,23,19.95,52.89,75,33,0,2,0,439
67,Ajay Sharma,31,27,20.19,90.4,59,26,9,3,0,424
68,Madan Lal,67,35,19.09,62.17,53,0,0,1,0,401
